"Keyword Version: 21.4","Revision: 2025-05-23 09:24:06","Timestamp: 2025-06-06 12:21:03","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=xml","Case native"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","IOWA","DAVENPORT","","cd638f0d-4740-4ab3-938d-6f8f284f78ae"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","DAVIS STRAIT","","","29e79a9c-f1a9-4832-8813-e3a12dfddec6"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","DELAWARE","","","dfe30ec4-50e4-402e-9ab0-f5f6d141bb9c"
"CONTINENT","EUROPE","NORTHERN EUROPE","SCANDINAVIA","DENMARK","","98f7f9f6-90cb-4f52-8bec-8d21dd310c30"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","IOWA","DES MOINES","","8abe2036-a848-451a-8eee-ae7ccd9e401f"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","DHEKELIA","","63ddceba-4924-4c03-814f-ae7a90ddde62"
"CONTINENT","SOUTH AMERICA","CHILE","DIEGO RAMIREZ ISLANDS","","","1132b6fb-a1fe-42df-a7c6-38ee030aceaa"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","DISTRICT OF COLUMBIA","","","2ad8b29a-df7d-4fdc-b7b9-bcd2ff8d9866"
"CONTINENT","AFRICA","EASTERN AFRICA","DJIBOUTI","","","75dc417f-5bdc-441b-bfa9-8a31a03598d6"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","DOMINICA","","54fc3042-e1a5-4381-859f-e80335831de4"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","DOMINICAN REPUBLIC","","a5b56209-919d-4ace-9954-cbda4e58a3be"
"OCEAN","SOUTHERN OCEAN","DRAKE PASSAGE","","","","dd540b86-0422-496c-9c6b-5800192d7f8e"
"SPACE","EARTH MAGNETIC FIELD","","","","","8000a80c-9f8d-4406-80bc-3a4a75117df9"
"OCEAN","SOUTHERN OCEAN","EAST ANTARCTIC CONTINENTAL SHELF","","","","c09d2746-b111-4a47-86a6-3a5932b5ceb6"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","EAST CHINA SEA","","","6d61eeb2-a5a6-4364-b974-e5b4d317327f"
"CONTINENT","AFRICA","EASTERN AFRICA","","","","1837fc8f-4622-433b-8148-dd2b5826f6f2"
"CONTINENT","ASIA","EASTERN ASIA","","","","a817d381-60e3-4f1b-aa38-041d83b67e70"
"CONTINENT","EUROPE","EASTERN EUROPE","","","","5add948b-8520-4e55-808c-27f0be33d35a"
"GEOGRAPHIC REGION","EASTERN HEMISPHERE","","","","","116620fb-2762-4032-9bfa-152d109c029d"
"OCEAN","PACIFIC OCEAN","EASTERN PACIFIC OCEAN","","","","dca3c058-59cd-48b1-9f61-b30557e87e51"
